Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch
Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,Bandai Visual,Sunrise,Original,24 min. per ep.,28.0,39.0,1251960,61971,105808,718161,71513,26678,329800
Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1.0,"Sunrise, Bandai Visual",Bones,Original,1 hr. 55 min.,159.0,518.0,273145,1174,4143,208333,1935,770,57964
Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26.0,Victor Entertainment,Madhouse,Manga,24 min. per ep.,266.0,201.0,558913,12944,29113,343492,25465,13925,146918
Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26.0,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment",Sunrise,Original,25 min. per ep.,2481.0,1467.0,94683,587,4300,46165,5121,5378,33719
Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52.0,"TV Tokyo, Dentsu",Toei Animation,Manga,23 min. per ep.,3710.0,4369.0,13224,18,642,7314,766,1108,3394
Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145.0,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,Manga,23 min. per ep.,604.0,1003.0,148259,2066,13907,78349,14228,11573,30202
Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24.0,"Genco, Fuji TV, Shueisha",J.C.Staff,Manga,23 min. per ep.,468.0,687.0,214499,4101,11909,81145,11901,11026,98518
Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,52.0,"Genco, Fuji TV, Shueisha",Nippon Animation,Manga,23 min. per ep.,1317.0,3612.0,20470,231,817,13778,828,1168,3879
Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24.0,"OB Planning, Studio Jack",A.C.G.T.,Manga,27 min. per ep.,360.0,1233.0,117929,979,6082,90967,3053,1356,16471
Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74.0,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,24 min. per ep.,30.0,169.0,614100,29436,64648,214491,47488,23008,264465
Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220.0,"TV Tokyo, Aniplex, Shueisha",Studio Pierrot,Manga,23 min. per ep.,660.0,8.0,1830540,65586,137167,1462223,61734,99806,69610
